Title;Price;City;Link
Dron DJI mavic 2 pro Fly More Combo + Filtry NDPL;5300.0;Warszawa;"https://www.olx.pl/oferta/dron-dji-mavic-2-pro-fly-more-combo-filtry-ndpl-CID99-IDJK4HC.html#11492f8a40;promoted"
DJI Mavic 2 Pro Fly More Combo;4650.0;Toruń;https://www.olx.pl/oferta/dji-mavic-2-pro-fly-more-combo-CID767-IDJOyUw.html#11492f8a40
DJI Mavic 2 Pro + Smart Controller |Combo zestaw |Gwarancja +karta;7405.0;Sosnowiec;https://www.olx.pl/oferta/dji-mavic-2-pro-smart-controller-combo-zestaw-gwarancja-karta-CID99-IDJNEnp.html#11492f8a40
DJI Mavic 2 Pro + Fly More Kit COMBO [NOWY];6400.0;Lublin;https://www.olx.pl/oferta/dji-mavic-2-pro-fly-more-kit-combo-nowy-CID767-IDJNBNm.html#11492f8a40
Dron DJI Mavic 2 Pro Fly More Combo;5700.0;Sztum;https://www.olx.pl/oferta/dron-dji-mavic-2-pro-fly-more-combo-CID767-IDHE7k5.html#11492f8a40
DJI Fly More Combo do Mavic 2 Zoom / Pro;1349.0;Bytom;https://www.olx.pl/oferta/dji-fly-more-combo-do-mavic-2-zoom-pro-CID767-IDxo8dZ.html#11492f8a40
DJI Mavic 2 Pro + Fly More Combo Kit + dji care + gwarancja do 2022;6850.0;Warszawa;https://www.olx.pl/oferta/dji-mavic-2-pro-fly-more-combo-kit-dji-care-gwarancja-do-2022-CID99-IDETnVF.html#11492f8a40
Dron DJI Mavic 2 Pro Fly More Combo;5499.0;Kraków;https://www.olx.pl/oferta/dron-dji-mavic-2-pro-fly-more-combo-CID767-IDJE5XG.html#11492f8a40
DJI Mavic 2 Pro + Fly More Kit (Combo) Air Zestaw;5200.0;Warszawa;https://www.olx.pl/oferta/dji-mavic-2-pro-fly-more-kit-combo-air-zestaw-CID99-IDJrACY.html#11492f8a40
